Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
7,1,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0,0,0,1,0,0,8,0,65.34,0,8,14,0,0,8,0,8,7,0,7,8,0,8,37.861,43.951,405.994,1416.44,3.94,67.04,4.615,0,0,1,0,0,0,0
83,0,1,0,0,0,0,0,6,62,53,0,0,0,0,1,0,0,0,0,0,0,59,63,65.95,38,0,0,0,59,62,0,63,0,0,0,0,0,70,60.308,147.674,261.899,15308.712,9.74,76.91,16.57,1,0,0,0,0,0,0
28,1,0,0,0,0,0,0,1,32,6,0,0,0,0,0,1,0,0,0,0,0,39,40,65.54,0,0,73,0,7,32,0,40,29,0,29,0,0,29,80.393,3.623,341.862,17881.509,10.43,72.91,7.24,1,0,0,0,0,0,0
98,0,0,1,0,0,0,81,1.5,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,48.37,5,26,0,0,0,0,0,88,0,0,0,86,79,89,91.876,508.544,109.361,48472.545,5.29,82.28,30.66,0,0,0,0,0,1,0
6,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,98.041,375.564,114.898,42658.576,4.29,81.63,31.42,0,0,0,0,0,1,0
57,0,1,0,0,0,0,0,4,8,8,0,0,0,0,0,1,0,0,0,0,0,8,12,84.68,0,0,7,0,10,3,0,12,0,0,49,0,0,12,18.585,341.955,197.093,11669.077,10.68,76.98,15.4,0,0,1,0,0,0,0
102,0,0,1,0,0,0,87,1,0,0,87,0,0,0,0,0,1,0,0,0,0,0,0,54.78,0,0,0,0,0,0,0,0,0,32,0,32,0,99,91.223,231.447,128.275,94277.965,4.42,82.25,24.154,0,0,1,0,0,0,0
85,0,1,0,0,0,0,0,1,0,0,0,0,56,0,1,0,0,0,0,0,47,114,50,91.93,0,0,69,0,47,0,0,85,73,0,86,0,0,86,55.985,145.725,342.864,11188.744,6.32,71.72,8.372,1,0,0,0,0,0,0
104,1,0,0,0,0,0,0,1,101,0,0,0,0,1,0,0,0,0,0,0,101,0,100,76.26,0,38,0,0,0,0,105,100,105,0,105,0,25,98,51.615,49.127,272.509,752.788,2.42,64.1,4.813,0,0,0,0,0,1,0
64,0,0,1,0,0,0,42,2,38,0,42,0,0,1,0,0,0,0,0,0,38,53,51,44.36,0,0,0,0,39,39,0,54,70,0,42,0,0,91,63.405,69.874,126.459,67335.293,3.28,82.3,22.606,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36.79,0,0,0,0,0,0,0,0,3,0,27,0,0,4,58.515,106.749,145.183,45436.686,6.35,81.54,32.95,0,0,1,0,0,0,0
101,0,0,1,0,0,0,84,1.666666667,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,52.91,8,29,0,0,0,0,0,91,0,0,0,89,82,92,91.876,508.544,109.361,48472.545,5.29,82.28,30.66,0,0,1,0,0,0,0
6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,5,0,85.8,0,4,61,0,0,4,0,4,0,0,1,0,0,0,13.25,18.22,561.494,3823.194,17.65,64.5,5.95,0,0,0,0,0,1,0
29,0,1,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,30,0,25,30,76.607,96.254,260.942,26808.164,16.74,76.16,9.7,1,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,1,17,28,17,78.49,0,0,14,0,17,0,0,27,0,0,17,0,0,17,0,0,197.0668846,21655.2437,13.17,81.88,16.17296,0,1,0,0,0,0,0
